,B1_a_mean,B1_a_std,B1_a_skew,B1_a_kurtosis,B1_a_entropy,B1_a_rms,B1_a_max,B1_a_p2p,B1_b_mean,B1_b_std,B1_b_skew,B1_b_kurtosis,B1_b_entropy,B1_b_rms,B1_b_max,B1_b_p2p,B2_a_mean,B2_a_std,B2_a_skew,B2_a_kurtosis,B2_a_entropy,B2_a_rms,B2_a_max,B2_a_p2p,B2_b_mean,B2_b_std,B2_b_skew,B2_b_kurtosis,B2_b_entropy,B2_b_rms,B2_b_max,B2_b_p2p,B3_a_mean,B3_a_std,B3_a_skew,B3_a_kurtosis,B3_a_entropy,B3_a_rms,B3_a_max,B3_a_p2p,B3_b_mean,B3_b_std,B3_b_skew,B3_b_kurtosis,B3_b_entropy,B3_b_rms,B3_b_max,B3_b_p2p,B4_a_mean,B4_a_std,B4_a_skew,B4_a_kurtosis,B4_a_entropy,B4_a_rms,B4_a_max,B4_a_p2p,B4_b_mean,B4_b_std,B4_b_skew,B4_b_kurtosis,B4_b_entropy,B4_b_rms,B4_b_max,B4_b_p2p
2003-10-22 12:06:24,0.10414785878216577,0.08112446002473203,-0.0298998835946286,1.069799891867429,4.802559183012041,0.1246167666966247,0.72,1.1079999999999999,0.10025274671614601,0.0706505711943794,0.22022735725325518,3.0670022363886713,4.585194938102951,0.11749570579771156,0.701,1.265,0.10714727281605542,0.0906501978046057,-0.09218191865627488,0.2099488185789271,4.985813055006422,0.13045219969436278,0.674,1.033,0.1020041505932894,0.07751107661742591,-0.05311768891459571,0.29250069547815594,4.864916822482891,0.12164449804846963,0.53,0.786,0.1061485424092972,0.09146520656672372,0.03435077024288121,0.4056711797175465,5.027651657520132,0.12888810859931002,0.496,0.896,0.10815034913814177,0.0954899021102532,-0.022286462287203747,0.7774362946691062,4.9300037266504795,0.13182101379045008,0.784,1.199,0.09480252942037912,0.06008690094579486,0.04653225469161271,0.7906855438829985,4.607007705876975,0.10901942474811892,0.413,0.6619999999999999,0.09951311099174552,0.06638240883737173,0.008208297950429556,1.8087188399106684,4.6905799288244605,0.11526596775470135,0.47100000000000003,0.845
2003-10-22 12:09:13,0.10365130133307263,0.07951915125653534,-0.07011840876541586,1.1619599514973582,4.844845755088025,0.12381151925175898,0.654,1.042,0.09985399677718516,0.06953237800287225,0.12654191511202512,2.001591924235574,4.674024828312591,0.11683415901996319,0.581,1.072,0.10818902290150831,0.09026211048387045,-0.10149526722546845,0.2296195783122963,5.014908181102546,0.1314901231015672,0.645,0.936,0.10291996679525246,0.07674205282044781,-0.0330701316600052,0.2919755891475706,4.856479377813369,0.12218059525284956,0.625,0.867,0.10666092094340458,0.09173657746074011,0.001110720743242924,0.4459541343619886,4.985829558637201,0.12956395203480892,0.5660000000000001,1.0590000000000002,0.10845846965183814,0.09438592734198338,-0.028727589889722228,0.6828397584378032,5.057129505376099,0.13205224367027038,0.5760000000000001,0.9930000000000001,0.09507007178084655,0.05942276149203446,0.08515163427383093,1.235093782714269,4.590645543212127,0.10890001175026105,0.42,0.796,0.09358694272181106,0.0647470023602699,-0.053721312130402196,1.8738453633810495,4.666141917527243,0.10920997904238247,0.627,0.9
2003-10-22 12:14:13,0.10503872259387531,0.0802202674454308,-0.04157888521354236,0.9867243832344168,4.889310791679182,0.12524886033604965,0.623,0.94,0.10154265344987368,0.06946635036391319,0.15114652406854032,1.9697131364102618,4.725060839962476,0.11838683477721171,0.5489999999999999,1.0179999999999998,0.10854343473802402,0.09023538435032989,-0.0921756138012615,0.20927644837989412,5.0141932122633035,0.13190083848455755,0.613,0.952,0.10404179891596153,0.07710005305581671,-0.028952382952045757,0.17348779680150583,4.859436713443669,0.12357403970189895,0.43200000000000005,0.7180000000000001,0.10874022169051152,0.09181712784577657,0.05303123020283351,0.38996169853278495,5.033127581686963,0.13133931726851483,0.601,0.987,0.10987538454026002,0.09405534762000183,0.019565655218146193,0.7512180780644493,5.051881654933867,0.1332945881820965,0.62,0.984,0.09615777137555355,0.05997077945426487,0.009628373212753005,0.9250418559861906,4.602957032566827,0.11032030062024778,0.396,0.657,0.09829854973387152,0.06525607097832894,0.04706920542106226,1.4302420087275167,4.681036691303563,0.11369514143015734,0.601,0.977
2003-10-22 12:19:13,0.104900141608476,0.08082789199171027,0.005234612711202399,1.0347581756374322,4.852691406415179,0.1252000101093191,0.598,1.055,0.10157331900971574,0.07126754477427531,0.09959902670835248,1.7461900278571654,4.750850469788135,0.11900723797961901,0.535,1.009,0.10815152107036474,0.09027656412773637,-0.10578074878602445,0.18921216458111,5.0149087661509935,0.13161619595716284,0.598,0.884,0.1033777528199605,0.07653113696330202,-0.05047820181347782,0.32013420118415015,4.852348958057759,0.12274962339038985,0.483,0.727,0.10806826505200438,0.09238598548045672,-0.0237438079132333,0.2625506404833109,5.040657951412637,0.1310777752824883,0.552,0.8740000000000001,0.11001010791542495,0.09650841991320575,-0.00843773876480377,0.6676912120850678,5.040339574797771,0.13397232609529022,0.684,1.036,0.09681385809853772,0.059918235972501635,-0.03723982252296186,0.6529470849026073,4.604433701812704,0.111038275200491,0.39299999999999996,0.591,0.0986017871966387,0.06630428478131055,0.021169111520204134,1.3786890080602672,4.696194170698654,0.1144148651412964,0.525,0.8520000000000001
2003-10-22 12:24:13,0.10477860247082281,0.0820375404021458,-0.06012289838493828,1.110657757594756,4.889992688670255,0.12562079586877653,0.623,1.011,0.10218111235900035,0.0721489925755652,0.09604275249454676,1.1823526785065206,4.783104387714106,0.11967926908044384,0.537,0.923,0.10794330777870006,0.08886574304552175,-0.09198861111155852,0.2610553162099505,4.94385759522515,0.1307802151364132,0.725,1.0739999999999998,0.10262947409541347,0.07604673618793203,-0.04440182247720448,0.34126073942721247,4.846423973303743,0.12186871718265313,0.5710000000000001,0.8370000000000001,0.10845397724498233,0.09193610428103788,0.027090965604120804,0.3264034821283093,5.032258380544043,0.13130915502756252,0.527,0.998,0.10934962644660358,0.09504738514676864,-0.024844173243666355,0.4755465711506699,5.030936516854095,0.13328195652654462,0.623,1.0550000000000002,0.09635758581961792,0.059257440064578296,0.03643478518974456,0.6359868509437776,4.59411010355656,0.11018913530531481,0.376,0.591,0.09847082377068972,0.06628102077620263,0.0087133772995849,1.4983029340019516,4.693571763804948,0.1142598996763797,0.522,0.871
2003-10-22 12:29:13,0.10523145661409183,0.08173142902738784,-0.054096577579955875,1.095456404483691,4.905036811341094,0.12599098366642225,0.564,0.996,0.10172996728355743,0.07184707418308785,0.11879726566163212,1.9715070471295522,4.488604784187101,0.11927915235829703,0.703,1.294,0.10768069729967258,0.08987144732954203,-0.04892858499713404,0.22734714029662406,4.989116512858892,0.13043447606561334,0.701,1.023,0.1023103178866139,0.07628358575526084,-0.034937095999982244,0.1437140578783067,4.850573365734655,0.12171793490092865,0.42700000000000005,0.664,0.10850832560183535,0.09353829409844172,-0.014764234203102241,0.3244035436011168,5.052019187904226,0.13171223480936192,0.522,0.876,0.11045021729576565,0.09630406051602483,0.06247158878058085,0.5891768724463069,5.070362208533643,0.13408617854397661,0.5589999999999999,1.023,0.10697182479613068,0.05860804114200455,0.006740462095715326,0.6875770824246321,4.582708420064651,0.120047990794326,0.4,0.559,0.0981802822403418,0.06540384797527163,-0.005607198207879757,1.1288558976077927,4.6851135391744565,0.11372552395812807,0.43,0.681
2003-10-22 12:34:13,0.1050312515259525,0.08131517332356702,-0.021053227730639328,0.8884353086606152,4.806630348443796,0.12548035366625646,0.667,1.106,0.10104375213633236,0.0707894778615513,0.05889063872170491,1.0379813356237535,4.7652905697016195,0.11834491320858607,0.5,0.881,0.10827496459788083,0.09065980309366761,-0.08316498765185379,0.12587804663610447,5.021530798055968,0.13156519303954298,0.598,0.859,0.10279124957273209,0.07679067201139482,-0.041931011715701065,0.20611809546988757,4.857713691969204,0.12222678903741359,0.46399999999999997,0.72,0.10836578934518278,0.09215533960949414,0.017305757428073328,0.2473141020759302,5.036822095756202,0.13103604090410045,0.508,0.8180000000000001,0.10962161238341622,0.09513896179722735,0.012777275688284738,0.43679316569916393,5.066405336051902,0.13300564108920665,0.596,0.984,0.05172244738512496,0.06349435681768838,-0.012954135524834457,0.6148671429334005,4.66122203770771,0.06614798511933985,0.332,0.64,0.09706572586551844,0.06471420051747376,-0.0683414982657013,1.2387119220106277,4.673260935682992,0.11268466199305341,0.466,0.7490000000000001
2003-10-22 12:39:13,0.10477469603007789,0.08022976366057681,-0.014141853564883514,0.9008079263064435,4.889594930397977,0.12507694726232224,0.603,0.984,0.10137726451486738,0.0709421723905944,0.054149370240435535,1.2952708558749797,4.7664544559366915,0.11871513104067563,0.505,0.9420000000000001,0.10730099125933838,0.08876291106256691,-0.06977764842067963,0.13942715942562156,4.99879131274889,0.13001327276953278,0.613,0.877,0.10293974315151892,0.07645650122240695,-0.034632123693191075,0.3337565040059758,4.851124849635591,0.12214111800557477,0.588,0.839,0.10792641242248038,0.0916531751785963,0.04984776343831669,0.6915367589000776,4.900037109416526,0.1307764230502638,0.623,1.167,0.1097424678939393,0.09581905617026579,-0.03438178598447983,0.7968618578281568,5.069512675234689,0.13356649831869818,0.605,0.979,0.10254480199228255,0.05840746178249287,0.023723037929803025,0.8690057889161591,4.575287690895208,0.1157417926108174,0.39799999999999996,0.591,0.09795385516870722,0.06492919003698998,-0.01427961826434451,1.4844833590942597,4.671361186640805,0.11333356496684101,0.532,0.788
2003-10-22 12:44:13,0.10517222520630835,0.08080931746770913,-0.020660784331714536,0.9392129905315949,4.834647321619829,0.12538639376578684,0.696,1.109,0.10175423604668038,0.07180451084337094,0.1332697552930933,1.669114555672135,4.765214559913183,0.11918066622861044,0.579,1.043,0.10840749060012635,0.08871428758350995,-0.06394272835980047,0.12437703846126746,4.999816219002475,0.13122712255188232,0.61,0.898,0.10315523218907029,0.07601444016689485,-0.05649397578569591,0.23577412360286631,4.8468786802539565,0.12251817281949996,0.479,0.708,0.10857766492504477,0.09107732746618803,0.03542220789502526,0.3425766150763172,5.026025880476277,0.13096235987522184,0.574,0.921,0.108821817471555,0.09360688436083588,0.0007495989835993996,0.6018386630827322,5.028770564284964,0.1320974204985407,0.693,1.025,0.06754958738219653,0.060298534509719184,-0.08106207152717479,0.8077185041463113,4.609140945528895,0.08290761744803497,0.38799999999999996,0.627,0.09769603007959125,0.06423132769571743,0.04401649739025603,1.5161859526882844,4.6629360277841,0.11285137713798422,0.505,0.954
2003-10-22 12:49:13,0.10438307534547497,0.08125024496268239,0.012930409495615506,0.9227744016199071,4.836630154716709,0.12482812422952627,0.625,1.104,0.10131153864934632,0.07143810690499039,0.09592140533321049,1.5037388663706222,4.770777040701286,0.11872278473081306,0.535,0.994,0.1069277796767418,0.08853257450884844,-0.0852419791725762,-0.009979519762731037,4.9955876847077825,0.12981795033624355,0.491,0.784,0.10247468138092608,0.07577194878677654,-0.014971014167604622,0.18669570340171715,4.8441059278441365,0.12163952636272767,0.542,0.8400000000000001,0.10819229454563191,0.09197976997364384,0.03548848694626549,0.4401709962460534,5.033701845125337,0.1310127767556517,0.535,0.97,0.10951701743249113,0.09558276500130299,0.032022764756706755,0.7640456667248503,4.987465209071437,0.13321971808184016,0.657,1.123,0.08474984130084383,0.05982799422475687,-0.02651012017660147,0.957368057330068,4.599999029665964,0.09949603121506995,0.396,0.682,0.0980015625762962,0.06597661469499433,0.029880792355219774,1.2214865639281416,4.69137585581459,0.11358475022280892,0.46399999999999997,0.747
